No.,Repeat no.,Distance_matrix,Feasible_solution,Cost,Solve time (sec)
3,3,"[[0, 2, 10, 3], [2, 0, 1, 1], [10, 1, 0, 17], [3, 1, 17, 0]]'","[[0, 3, 2, 5], [6, 0, 4, 1], [1, 5, 0, 3], [4, 2, 6, 0]]'",106,0.0744870999999998
3,4,"[[0, 2, 10, 3], [2, 0, 1, 1], [10, 1, 0, 17], [3, 1, 17, 0]]'","[[0, 3, 2, 6], [5, 0, 6, 1], [1, 4, 0, 3], [4, 2, 5, 0]]'",101,0.07495279999999993
3,5,"[[0, 2, 10, 3], [2, 0, 1, 1], [10, 1, 0, 17], [3, 1, 17, 0]]'","[[0, 4, 5, 3], [2, 0, 3, 6], [6, 1, 0, 2], [1, 5, 4, 0]]'",83,0.07594659999999998
3,6,"[[0, 2, 10, 3], [2, 0, 1, 1], [10, 1, 0, 17], [3, 1, 17, 0]]'","[[0, 3, 6, 2], [1, 0, 4, 5], [5, 2, 0, 1], [4, 6, 3, 0]]'",109,0.07576179999999999
3,7,"[[0, 2, 10, 3], [2, 0, 1, 1], [10, 1, 0, 17], [3, 1, 17, 0]]'","[[0, 4, 5, 1], [2, 0, 1, 6], [6, 3, 0, 2], [3, 5, 4, 0]]'",77,0.07470819999999989
3,8,"[[0, 2, 10, 3], [2, 0, 1, 1], [10, 1, 0, 17], [3, 1, 17, 0]]'","[[0, 5, 4, 2], [3, 0, 1, 6], [6, 2, 0, 5], [1, 4, 3, 0]]'",73,0.07583280000000014
3,9,"[[0, 2, 10, 3], [2, 0, 1, 1], [10, 1, 0, 17], [3, 1, 17, 0]]'","[[0, 5, 2, 3], [1, 0, 4, 2], [6, 3, 0, 1], [4, 6, 5, 0]]'",102,0.07249559999999988
4,0,"[[0, 6, 19, 6], [6, 0, 6, 6], [19, 6, 0, 18], [6, 6, 18, 0]]'","[[0, 2, 1, 6], [3, 0, 6, 4], [4, 5, 0, 3], [5, 1, 2, 0]]'",139,0.07399199999999961
4,1,"[[0, 6, 19, 6], [6, 0, 6, 6], [19, 6, 0, 18], [6, 6, 18, 0]]'","[[0, 6, 3, 2], [1, 0, 5, 3], [4, 2, 0, 6], [5, 4, 1, 0]]'",207,0.0733710000000003
4,2,"[[0, 6, 19, 6], [6, 0, 6, 6], [19, 6, 0, 18], [6, 6, 18, 0]]'","[[0, 4, 6, 5], [2, 0, 3, 1], [1, 5, 0, 4], [3, 6, 2, 0]]'",184,0.07414500000000013
4,3,"[[0, 6, 19, 6], [6, 0, 6, 6], [19, 6, 0, 18], [6, 6, 18, 0]]'","[[0, 2, 6, 1], [4, 0, 3, 6], [5, 1, 0, 4], [3, 5, 2, 0]]'",184,0.07430950000000003
4,4,"[[0, 6, 19, 6], [6, 0, 6, 6], [19, 6, 0, 18], [6, 6, 18, 0]]'","[[0, 3, 4, 2], [5, 0, 1, 6], [6, 2, 0, 3], [1, 4, 5, 0]]'",152,0.07502659999999972
4,5,"[[0, 6, 19, 6], [6, 0, 6, 6], [19, 6, 0, 18], [6, 6, 18, 0]]'","[[0, 2, 3, 4], [5, 0, 4, 1], [1, 6, 0, 5], [6, 3, 2, 0]]'",177,0.0749998999999999
4,6,"[[0, 6, 19, 6], [6, 0, 6, 6], [19, 6, 0, 18], [6, 6, 18, 0]]'","[[0, 5, 4, 1], [2, 0, 6, 4], [3, 1, 0, 5], [6, 3, 2, 0]]'",195,0.07458140000000002
4,7,"[[0, 6, 19, 6], [6, 0, 6, 6], [19, 6, 0, 18], [6, 6, 18, 0]]'","[[0, 4, 6, 1], [5, 0, 1, 6], [3, 2, 0, 4], [2, 3, 5, 0]]'",157,0.07508619999999988
4,8,"[[0, 6, 19, 6], [6, 0, 6, 6], [19, 6, 0, 18], [6, 6, 18, 0]]'","[[0, 1, 6, 2], [3, 0, 5, 4], [4, 2, 0, 3], [5, 6, 1, 0]]'",158,0.07671699999999992
4,9,"[[0, 6, 19, 6], [6, 0, 6, 6], [19, 6, 0, 18], [6, 6, 18, 0]]'","[[0, 3, 4, 1], [2, 0, 5, 6], [6, 1, 0, 2], [5, 4, 3, 0]]'",164,0.0744419999999999
5,0,"[[0, 8, 11, 18], [8, 0, 6, 12], [11, 6, 0, 2], [18, 12, 2, 0]]'","[[0, 5, 3, 2], [4, 0, 2, 1], [1, 6, 0, 5], [6, 3, 4, 0]]'",157,0.07482910000000009
5,1,"[[0, 8, 11, 18], [8, 0, 6, 12], [11, 6, 0, 2], [18, 12, 2, 0]]'","[[0, 6, 1, 5], [4, 0, 2, 1], [3, 5, 0, 4], [2, 3, 6, 0]]'",175,0.07470709999999992
5,2,"[[0, 8, 11, 18], [8, 0, 6, 12], [11, 6, 0, 2], [18, 12, 2, 0]]'","[[0, 5, 3, 2], [6, 0, 2, 1], [1, 4, 0, 6], [4, 3, 5, 0]]'",144,0.07492049999999972
5,3,"[[0, 8, 11, 18], [8, 0, 6, 12], [11, 6, 0, 2], [18, 12, 2, 0]]'","[[0, 4, 6, 1], [5, 0, 3, 2], [2, 1, 0, 4], [3, 6, 5, 0]]'",172,0.07550429999999997
5,4,"[[0, 8, 11, 18], [8, 0, 6, 12], [11, 6, 0, 2], [18, 12, 2, 0]]'","[[0, 3, 5, 4], [2, 0, 6, 1], [1, 4, 0, 2], [6, 5, 3, 0]]'",144,0.07550799999999969
5,5,"[[0, 8, 11, 18], [8, 0, 6, 12], [11, 6, 0, 2], [18, 12, 2, 0]]'","[[0, 2, 4, 3], [1, 0, 3, 6], [6, 5, 0, 1], [5, 4, 2, 0]]'",133,0.07533089999999998
5,6,"[[0, 8, 11, 18], [8, 0, 6, 12], [11, 6, 0, 2], [18, 12, 2, 0]]'","[[0, 4, 5, 3], [1, 0, 6, 5], [2, 3, 0, 1], [6, 2, 4, 0]]'",157,0.07330259999999988
5,7,"[[0, 8, 11, 18], [8, 0, 6, 12], [11, 6, 0, 2], [18, 12, 2, 0]]'","[[0, 1, 2, 3], [6, 0, 5, 4], [4, 3, 0, 6], [5, 2, 1, 0]]'",142,0.0731522
5,8,"[[0, 8, 11, 18], [8, 0, 6, 12], [11, 6, 0, 2], [18, 12, 2, 0]]'","[[0, 3, 5, 2], [4, 0, 6, 5], [1, 2, 0, 3], [6, 1, 4, 0]]'",167,0.07337090000000002
5,9,"[[0, 8, 11, 18], [8, 0, 6, 12], [11, 6, 0, 2], [18, 12, 2, 0]]'","[[0, 5, 1, 6], [4, 0, 2, 1], [3, 6, 0, 5], [2, 3, 4, 0]]'",148,0.07298579999999966
6,0,"[[0, 19, 0, 3], [19, 0, 15, 19], [0, 15, 0, 2], [3, 19, 2, 0]]'","[[0, 1, 2, 5], [4, 0, 6, 2], [3, 5, 0, 1], [6, 3, 4, 0]]'",204,0.0730379000000001
6,1,"[[0, 19, 0, 3], [19, 0, 15, 19], [0, 15, 0, 2], [3, 19, 2, 0]]'","[[0, 6, 5, 4], [1, 0, 2, 3], [3, 4, 0, 6], [2, 5, 1, 0]]'",139,0.07312640000000004
6,2,"[[0, 19, 0, 3], [19, 0, 15, 19], [0, 15, 0, 2], [3, 19, 2, 0]]'","[[0, 6, 3, 5], [1, 0, 2, 3], [4, 5, 0, 1], [2, 4, 6, 0]]'",146,0.07143790000000028
6,3,"[[0, 19, 0, 3], [19, 0, 15, 19], [0, 15, 0, 2], [3, 19, 2, 0]]'","[[0, 4, 1, 5], [6, 0, 5, 1], [3, 2, 0, 4], [2, 3, 6, 0]]'",176,0.07398959999999999
6,4,"[[0, 19, 0, 3], [19, 0, 15, 19], [0, 15, 0, 2], [3, 19, 2, 0]]'","[[0, 4, 6, 3], [2, 0, 3, 1], [1, 5, 0, 2], [5, 6, 4, 0]]'",134,0.07227279999999947
6,5,"[[0, 19, 0, 3], [19, 0, 15, 19], [0, 15, 0, 2], [3, 19, 2, 0]]'","[[0, 4, 1, 3], [6, 0, 3, 5], [5, 2, 0, 4], [2, 1, 6, 0]]'",171,0.0731136999999995
6,6,"[[0, 19, 0, 3], [19, 0, 15, 19], [0, 15, 0, 2], [3, 19, 2, 0]]'","[[0, 6, 2, 5], [3, 0, 4, 1], [1, 5, 0, 6], [4, 2, 3, 0]]'",165,0.07518340000000023
6,7,"[[0, 19, 0, 3], [19, 0, 15, 19], [0, 15, 0, 2], [3, 19, 2, 0]]'","[[0, 1, 2, 6], [3, 0, 5, 4], [4, 6, 0, 1], [5, 2, 3, 0]]'",137,0.07495299999999983
6,8,"[[0, 19, 0, 3], [19, 0, 15, 19], [0, 15, 0, 2], [3, 19, 2, 0]]'","[[0, 6, 5, 4], [1, 0, 4, 5], [2, 3, 0, 6], [3, 2, 1, 0]]'",169,0.07256010000000046
6,9,"[[0, 19, 0, 3], [19, 0, 15, 19], [0, 15, 0, 2], [3, 19, 2, 0]]'","[[0, 3, 1, 2], [5, 0, 6, 1], [4, 2, 0, 3], [6, 4, 5, 0]]'",168,0.07420179999999998
7,0,"[[0, 6, 19, 17], [6, 0, 14, 0], [19, 14, 0, 7], [17, 0, 7, 0]]'","[[0, 1, 6, 4], [5, 0, 4, 6], [3, 2, 0, 1], [2, 3, 5, 0]]'",184,0.07448619999999995
7,1,"[[0, 6, 19, 17], [6, 0, 14, 0], [19, 14, 0, 7], [17, 0, 7, 0]]'","[[0, 5, 1, 6], [2, 0, 6, 1], [4, 3, 0, 5], [3, 4, 2, 0]]'",157,0.07444309999999987
7,2,"[[0, 6, 19, 17], [6, 0, 14, 0], [19, 14, 0, 7], [17, 0, 7, 0]]'","[[0, 3, 1, 2], [4, 0, 2, 5], [5, 6, 0, 4], [6, 1, 3, 0]]'",144,0.07356910000000028
7,3,"[[0, 6, 19, 17], [6, 0, 14, 0], [19, 14, 0, 7], [17, 0, 7, 0]]'","[[0, 2, 1, 3], [6, 0, 5, 4], [4, 3, 0, 6], [5, 1, 2, 0]]'",177,0.07482219999999984
7,4,"[[0, 6, 19, 17], [6, 0, 14, 0], [19, 14, 0, 7], [17, 0, 7, 0]]'","[[0, 1, 2, 6], [4, 0, 3, 5], [5, 6, 0, 4], [3, 2, 1, 0]]'",180,0.07337530000000037
7,5,"[[0, 6, 19, 17], [6, 0, 14, 0], [19, 14, 0, 7], [17, 0, 7, 0]]'","[[0, 6, 1, 5], [4, 0, 3, 1], [2, 5, 0, 4], [3, 2, 6, 0]]'",195,0.07273550000000029
7,6,"[[0, 6, 19, 17], [6, 0, 14, 0], [19, 14, 0, 7], [17, 0, 7, 0]]'","[[0, 5, 1, 6], [4, 0, 6, 1], [3, 2, 0, 5], [2, 3, 4, 0]]'",167,0.07451799999999942
7,7,"[[0, 6, 19, 17], [6, 0, 14, 0], [19, 14, 0, 7], [17, 0, 7, 0]]'","[[0, 5, 1, 6], [3, 0, 2, 4], [4, 6, 0, 5], [2, 1, 3, 0]]'",162,0.07498510000000014
7,8,"[[0, 6, 19, 17], [6, 0, 14, 0], [19, 14, 0, 7], [17, 0, 7, 0]]'","[[0, 2, 4, 3], [6, 0, 5, 4], [1, 3, 0, 6], [5, 1, 2, 0]]'",174,0.07471590000000017
7,9,"[[0, 6, 19, 17], [6, 0, 14, 0], [19, 14, 0, 7], [17, 0, 7, 0]]'","[[0, 6, 4, 3], [1, 0, 5, 4], [2, 3, 0, 6], [5, 2, 1, 0]]'",183,0.07455210000000001
8,0,"[[0, 7, 13, 4], [7, 0, 3, 3], [13, 3, 0, 13], [4, 3, 13, 0]]'","[[0, 4, 2, 3], [5, 0, 3, 6], [6, 1, 0, 5], [1, 2, 4, 0]]'",116,0.07343659999999996
8,1,"[[0, 7, 13, 4], [7, 0, 3, 3], [13, 3, 0, 13], [4, 3, 13, 0]]'","[[0, 2, 1, 3], [4, 0, 3, 6], [6, 5, 0, 2], [5, 1, 4, 0]]'",121,0.07345489999999977
8,2,"[[0, 7, 13, 4], [7, 0, 3, 3], [13, 3, 0, 13], [4, 3, 13, 0]]'","[[0, 6, 5, 1], [3, 0, 4, 2], [2, 1, 0, 6], [4, 5, 3, 0]]'",119,0.07404529999999987
8,3,"[[0, 7, 13, 4], [7, 0, 3, 3], [13, 3, 0, 13], [4, 3, 13, 0]]'","[[0, 4, 2, 3], [6, 0, 1, 5], [5, 3, 0, 4], [1, 2, 6, 0]]'",99,0.07446169999999963
8,4,"[[0, 7, 13, 4], [7, 0, 3, 3], [13, 3, 0, 13], [4, 3, 13, 0]]'","[[0, 5, 4, 3], [1, 0, 3, 2], [2, 6, 0, 5], [6, 4, 1, 0]]'",132,0.07151350000000001
8,5,"[[0, 7, 13, 4], [7, 0, 3, 3], [13, 3, 0, 13], [4, 3, 13, 0]]'","[[0, 5, 6, 4], [3, 0, 2, 6], [1, 4, 0, 3], [2, 1, 5, 0]]'",121,0.07210640000000001
8,6,"[[0, 7, 13, 4], [7, 0, 3, 3], [13, 3, 0, 13], [4, 3, 13, 0]]'","[[0, 1, 2, 4], [6, 0, 5, 2], [3, 4, 0, 6], [5, 3, 1, 0]]'",129,0.07156159999999989
8,7,"[[0, 7, 13, 4], [7, 0, 3, 3], [13, 3, 0, 13], [4, 3, 13, 0]]'","[[0, 1, 2, 5], [6, 0, 4, 2], [3, 5, 0, 6], [4, 3, 1, 0]]'",122,0.0732406000000001
8,8,"[[0, 7, 13, 4], [7, 0, 3, 3], [13, 3, 0, 13], [4, 3, 13, 0]]'","[[0, 3, 6, 5], [4, 0, 1, 6], [2, 5, 0, 4], [1, 2, 3, 0]]'",126,0.07460779999999989
8,9,"[[0, 7, 13, 4], [7, 0, 3, 3], [13, 3, 0, 13], [4, 3, 13, 0]]'","[[0, 5, 6, 2], [4, 0, 1, 3], [3, 2, 0, 4], [1, 6, 5, 0]]'",89,0.07452769999999997
9,0,"[[0, 8, 11, 10], [8, 0, 5, 7], [11, 5, 0, 19], [10, 7, 19, 0]]'","[[0, 4, 5, 6], [1, 0, 3, 5], [2, 6, 0, 1], [3, 2, 4, 0]]'",162,0.07559999999999967
9,1,"[[0, 8, 11, 10], [8, 0, 5, 7], [11, 5, 0, 19], [10, 7, 19, 0]]'","[[0, 1, 5, 2], [3, 0, 6, 4], [4, 2, 0, 3], [6, 5, 1, 0]]'",163,0.07526630000000001
9,2,"[[0, 8, 11, 10], [8, 0, 5, 7], [11, 5, 0, 19], [10, 7, 19, 0]]'","[[0, 2, 5, 1], [4, 0, 6, 5], [3, 1, 0, 2], [6, 3, 4, 0]]'",158,0.07598449999999968
9,3,"[[0, 8, 11, 10], [8, 0, 5, 7], [11, 5, 0, 19], [10, 7, 19, 0]]'","[[0, 1, 3, 6], [5, 0, 2, 3], [4, 6, 0, 5], [2, 4, 1, 0]]'",177,0.0762223999999998
9,4,"[[0, 8, 11, 10], [8, 0, 5, 7], [11, 5, 0, 19], [10, 7, 19, 0]]'","[[0, 4, 2, 1], [5, 0, 6, 3], [3, 1, 0, 4], [6, 2, 5, 0]]'",183,0.07766479999999998
9,5,"[[0, 8, 11, 10], [8, 0, 5, 7], [11, 5, 0, 19], [10, 7, 19, 0]]'","[[0, 5, 6, 1], [3, 0, 2, 4], [4, 1, 0, 3], [2, 6, 5, 0]]'",160,0.0773843000000003
9,6,"[[0, 8, 11, 10], [8, 0, 5, 7], [11, 5, 0, 19], [10, 7, 19, 0]]'","[[0, 5, 2, 6], [1, 0, 6, 2], [4, 3, 0, 1], [3, 4, 5, 0]]'",171,0.07695939999999979
9,7,"[[0, 8, 11, 10], [8, 0, 5, 7], [11, 5, 0, 19], [10, 7, 19, 0]]'","[[0, 2, 5, 4], [6, 0, 1, 3], [3, 4, 0, 6], [1, 5, 2, 0]]'",185,0.07695739999999951
9,8,"[[0, 8, 11, 10], [8, 0, 5, 7], [11, 5, 0, 19], [10, 7, 19, 0]]'","[[0, 4, 2, 5], [1, 0, 6, 2], [3, 5, 0, 1], [6, 3, 4, 0]]'",188,0.07683540000000022
9,9,"[[0, 8, 11, 10], [8, 0, 5, 7], [11, 5, 0, 19], [10, 7, 19, 0]]'","[[0, 6, 4, 1], [2, 0, 1, 4], [5, 3, 0, 2], [3, 5, 6, 0]]'",173,0.0767667000000003
10,0,"[[0, 14, 7, 0], [14, 0, 10, 0], [7, 10, 0, 1], [0, 0, 1, 0]]'","[[0, 2, 1, 3], [5, 0, 6, 4], [4, 3, 0, 2], [6, 1, 5, 0]]'",54,0.0766979000000001
10,1,"[[0, 14, 7, 0], [14, 0, 10, 0], [7, 10, 0, 1], [0, 0, 1, 0]]'","[[0, 5, 3, 6], [4, 0, 2, 3], [1, 6, 0, 5], [2, 1, 4, 0]]'",84,0.07615579999999955
10,2,"[[0, 14, 7, 0], [14, 0, 10, 0], [7, 10, 0, 1], [0, 0, 1, 0]]'","[[0, 6, 5, 2], [3, 0, 1, 5], [4, 2, 0, 3], [1, 4, 6, 0]]'",83,0.07548680000000019
10,3,"[[0, 14, 7, 0], [14, 0, 10, 0], [7, 10, 0, 1], [0, 0, 1, 0]]'","[[0, 5, 3, 4], [2, 0, 1, 6], [6, 4, 0, 5], [1, 3, 2, 0]]'",80,0.07630330000000018
10,4,"[[0, 14, 7, 0], [14, 0, 10, 0], [7, 10, 0, 1], [0, 0, 1, 0]]'","[[0, 2, 1, 3], [5, 0, 6, 1], [4, 3, 0, 2], [6, 4, 5, 0]]'",77,0.07602340000000041
10,5,"[[0, 14, 7, 0], [14, 0, 10, 0], [7, 10, 0, 1], [0, 0, 1, 0]]'","[[0, 2, 3, 4], [5, 0, 4, 3], [6, 1, 0, 2], [1, 6, 5, 0]]'",76,0.0757159999999999
10,6,"[[0, 14, 7, 0], [14, 0, 10, 0], [7, 10, 0, 1], [0, 0, 1, 0]]'","[[0, 2, 1, 6], [5, 0, 4, 3], [3, 6, 0, 2], [4, 1, 5, 0]]'",79,0.0767989
10,7,"[[0, 14, 7, 0], [14, 0, 10, 0], [7, 10, 0, 1], [0, 0, 1, 0]]'","[[0, 5, 4, 1], [3, 0, 2, 4], [6, 1, 0, 3], [2, 6, 5, 0]]'",88,0.07490660000000027
10,8,"[[0, 14, 7, 0], [14, 0, 10, 0], [7, 10, 0, 1], [0, 0, 1, 0]]'","[[0, 1, 6, 5], [4, 0, 5, 3], [3, 2, 0, 1], [2, 6, 4, 0]]'",70,0.07447279999999967
10,9,"[[0, 14, 7, 0], [14, 0, 10, 0], [7, 10, 0, 1], [0, 0, 1, 0]]'","[[0, 2, 4, 3], [6, 0, 3, 5], [5, 1, 0, 6], [1, 4, 2, 0]]'",77,0.07491390000000031
