No.,Repeat no.,Distance_matrix,Feasible_solution,Cost,Solve time (sec)
2,0,"[[0, 11, 6, 8], [11, 0, 13, 15], [6, 13, 0, 3], [8, 15, 3, 0]]'","[[0, 1, 2, 6], [3, 0, 4, 5], [5, 6, 0, 1], [4, 2, 3, 0]]'",131,0.00565989900042041
2,1,"[[0, 11, 6, 8], [11, 0, 13, 15], [6, 13, 0, 3], [8, 15, 3, 0]]'","[[0, 2, 1, 5], [6, 0, 5, 4], [4, 3, 0, 6], [3, 1, 2, 0]]'",145,0.00549116000001959
2,2,"[[0, 11, 6, 8], [11, 0, 13, 15], [6, 13, 0, 3], [8, 15, 3, 0]]'","[[0, 1, 6, 2], [4, 0, 5, 3], [3, 2, 0, 1], [5, 6, 4, 0]]'",137,0.005431838999356842
2,3,"[[0, 11, 6, 8], [11, 0, 13, 15], [6, 13, 0, 3], [8, 15, 3, 0]]'","[[0, 5, 6, 4], [2, 0, 1, 3], [3, 4, 0, 2], [1, 6, 5, 0]]'",145,0.005531308999707107
2,4,"[[0, 11, 6, 8], [11, 0, 13, 15], [6, 13, 0, 3], [8, 15, 3, 0]]'","[[0, 1, 6, 5], [3, 0, 2, 4], [4, 5, 0, 1], [2, 6, 3, 0]]'",143,0.005799759000183258
2,5,"[[0, 11, 6, 8], [11, 0, 13, 15], [6, 13, 0, 3], [8, 15, 3, 0]]'","[[0, 5, 3, 4], [1, 0, 2, 3], [6, 4, 0, 5], [2, 6, 1, 0]]'",138,0.0065198590000363765
2,6,"[[0, 11, 6, 8], [11, 0, 13, 15], [6, 13, 0, 3], [8, 15, 3, 0]]'","[[0, 5, 4, 6], [1, 0, 2, 3], [3, 6, 0, 5], [2, 4, 1, 0]]'",146,0.007788160000018252
2,7,"[[0, 11, 6, 8], [11, 0, 13, 15], [6, 13, 0, 3], [8, 15, 3, 0]]'","[[0, 2, 5, 4], [6, 0, 4, 5], [3, 1, 0, 6], [1, 3, 2, 0]]'",146,0.007123159000002488
2,8,"[[0, 11, 6, 8], [11, 0, 13, 15], [6, 13, 0, 3], [8, 15, 3, 0]]'","[[0, 6, 3, 2], [1, 0, 2, 3], [5, 4, 0, 6], [4, 5, 1, 0]]'",135,0.005507928999577416
2,9,"[[0, 11, 6, 8], [11, 0, 13, 15], [6, 13, 0, 3], [8, 15, 3, 0]]'","[[0, 6, 2, 5], [4, 0, 3, 2], [1, 5, 0, 6], [3, 1, 4, 0]]'",157,0.005607300000519899
3,0,"[[0, 2, 10, 3], [2, 0, 1, 1], [10, 1, 0, 17], [3, 1, 17, 0]]'","[[0, 4, 5, 1], [2, 0, 3, 5], [6, 1, 0, 2], [3, 6, 4, 0]]'",94,0.005472119999467395
3,1,"[[0, 2, 10, 3], [2, 0, 1, 1], [10, 1, 0, 17], [3, 1, 17, 0]]'","[[0, 6, 1, 2], [3, 0, 2, 5], [5, 4, 0, 6], [4, 1, 3, 0]]'",85,0.005737489000239293
3,2,"[[0, 2, 10, 3], [2, 0, 1, 1], [10, 1, 0, 17], [3, 1, 17, 0]]'","[[0, 2, 5, 1], [6, 0, 4, 5], [3, 1, 0, 2], [4, 3, 6, 0]]'",85,0.006017959000018891
3,3,"[[0, 2, 10, 3], [2, 0, 1, 1], [10, 1, 0, 17], [3, 1, 17, 0]]'","[[0, 2, 6, 3], [5, 0, 4, 1], [1, 3, 0, 2], [4, 6, 5, 0]]'",60,0.006430739000279573
3,4,"[[0, 2, 10, 3], [2, 0, 1, 1], [10, 1, 0, 17], [3, 1, 17, 0]]'","[[0, 5, 4, 2], [1, 0, 6, 4], [3, 2, 0, 1], [6, 3, 5, 0]]'",85,0.005837458999849332
3,5,"[[0, 2, 10, 3], [2, 0, 1, 1], [10, 1, 0, 17], [3, 1, 17, 0]]'","[[0, 2, 3, 6], [4, 0, 6, 1], [1, 5, 0, 2], [5, 3, 4, 0]]'",70,0.006180329999551759
3,6,"[[0, 2, 10, 3], [2, 0, 1, 1], [10, 1, 0, 17], [3, 1, 17, 0]]'","[[0, 2, 5, 1], [6, 0, 1, 3], [3, 4, 0, 2], [4, 5, 6, 0]]'",61,0.005999099000291608
3,7,"[[0, 2, 10, 3], [2, 0, 1, 1], [10, 1, 0, 17], [3, 1, 17, 0]]'","[[0, 4, 5, 2], [6, 0, 1, 3], [3, 2, 0, 6], [1, 5, 4, 0]]'",80,0.006411349000700284
3,8,"[[0, 2, 10, 3], [2, 0, 1, 1], [10, 1, 0, 17], [3, 1, 17, 0]]'","[[0, 1, 4, 3], [5, 0, 6, 2], [2, 3, 0, 1], [6, 4, 5, 0]]'",83,0.006972279999899911
3,9,"[[0, 2, 10, 3], [2, 0, 1, 1], [10, 1, 0, 17], [3, 1, 17, 0]]'","[[0, 1, 5, 3], [6, 0, 4, 2], [2, 3, 0, 1], [4, 5, 6, 0]]'",65,0.006414239000150701
4,0,"[[0, 6, 19, 6], [6, 0, 6, 6], [19, 6, 0, 18], [6, 6, 18, 0]]'","[[0, 6, 4, 3], [1, 0, 5, 2], [2, 3, 0, 1], [5, 4, 6, 0]]'",146,0.006055899000784848
4,1,"[[0, 6, 19, 6], [6, 0, 6, 6], [19, 6, 0, 18], [6, 6, 18, 0]]'","[[0, 4, 3, 5], [2, 0, 6, 1], [1, 5, 0, 2], [6, 3, 4, 0]]'",152,0.007180390000030457
4,2,"[[0, 6, 19, 6], [6, 0, 6, 6], [19, 6, 0, 18], [6, 6, 18, 0]]'","[[0, 1, 2, 3], [6, 0, 3, 5], [5, 4, 0, 6], [4, 2, 1, 0]]'",120,0.007031029000245326
4,3,"[[0, 6, 19, 6], [6, 0, 6, 6], [19, 6, 0, 18], [6, 6, 18, 0]]'","[[0, 3, 2, 4], [1, 0, 4, 2], [6, 5, 0, 3], [5, 6, 1, 0]]'",163,0.007121009000002232
4,4,"[[0, 6, 19, 6], [6, 0, 6, 6], [19, 6, 0, 18], [6, 6, 18, 0]]'","[[0, 4, 5, 1], [6, 0, 1, 5], [3, 2, 0, 6], [2, 3, 4, 0]]'",152,0.006462899999860383
4,5,"[[0, 6, 19, 6], [6, 0, 6, 6], [19, 6, 0, 18], [6, 6, 18, 0]]'","[[0, 3, 2, 1], [6, 0, 1, 5], [5, 4, 0, 6], [4, 2, 3, 0]]'",115,0.0063969889997679275
4,6,"[[0, 6, 19, 6], [6, 0, 6, 6], [19, 6, 0, 18], [6, 6, 18, 0]]'","[[0, 1, 2, 5], [6, 0, 3, 4], [4, 5, 0, 6], [3, 2, 1, 0]]'",134,0.005916760000218346
4,7,"[[0, 6, 19, 6], [6, 0, 6, 6], [19, 6, 0, 18], [6, 6, 18, 0]]'","[[0, 4, 5, 2], [1, 0, 3, 6], [6, 2, 0, 1], [3, 5, 4, 0]]'",159,0.006070459000511619
4,8,"[[0, 6, 19, 6], [6, 0, 6, 6], [19, 6, 0, 18], [6, 6, 18, 0]]'","[[0, 3, 2, 1], [6, 0, 4, 5], [5, 1, 0, 6], [4, 2, 3, 0]]'",166,0.006107508999775746
4,9,"[[0, 6, 19, 6], [6, 0, 6, 6], [19, 6, 0, 18], [6, 6, 18, 0]]'","[[0, 2, 5, 4], [6, 0, 4, 1], [1, 3, 0, 2], [3, 5, 6, 0]]'",146,0.0062956199999462115
5,0,"[[0, 8, 11, 18], [8, 0, 6, 12], [11, 6, 0, 2], [18, 12, 2, 0]]'","[[0, 4, 3, 2], [5, 0, 2, 3], [1, 6, 0, 4], [6, 1, 5, 0]]'",139,0.006702419000248483
5,1,"[[0, 8, 11, 18], [8, 0, 6, 12], [11, 6, 0, 2], [18, 12, 2, 0]]'","[[0, 2, 6, 1], [3, 0, 1, 6], [5, 4, 0, 2], [4, 5, 3, 0]]'",151,0.006759988999874622
5,2,"[[0, 8, 11, 18], [8, 0, 6, 12], [11, 6, 0, 2], [18, 12, 2, 0]]'","[[0, 4, 6, 5], [3, 0, 1, 2], [2, 5, 0, 4], [1, 6, 3, 0]]'",150,0.006066638999982388
5,3,"[[0, 8, 11, 18], [8, 0, 6, 12], [11, 6, 0, 2], [18, 12, 2, 0]]'","[[0, 3, 1, 2], [5, 0, 2, 1], [6, 4, 0, 3], [4, 6, 5, 0]]'",135,0.0059145089999219636
5,4,"[[0, 8, 11, 18], [8, 0, 6, 12], [11, 6, 0, 2], [18, 12, 2, 0]]'","[[0, 4, 6, 5], [3, 0, 1, 6], [2, 5, 0, 4], [1, 2, 3, 0]]'",138,0.00717757900019933
5,5,"[[0, 8, 11, 18], [8, 0, 6, 12], [11, 6, 0, 2], [18, 12, 2, 0]]'","[[0, 4, 5, 6], [3, 0, 1, 2], [2, 6, 0, 3], [1, 5, 4, 0]]'",143,0.006427438999708102
5,6,"[[0, 8, 11, 18], [8, 0, 6, 12], [11, 6, 0, 2], [18, 12, 2, 0]]'","[[0, 3, 4, 2], [1, 0, 2, 6], [6, 5, 0, 1], [5, 4, 3, 0]]'",136,0.006209490000401274
5,7,"[[0, 8, 11, 18], [8, 0, 6, 12], [11, 6, 0, 2], [18, 12, 2, 0]]'","[[0, 1, 6, 3], [2, 0, 3, 4], [4, 5, 0, 2], [5, 6, 1, 0]]'",155,0.00583831000039936
5,8,"[[0, 8, 11, 18], [8, 0, 6, 12], [11, 6, 0, 2], [18, 12, 2, 0]]'","[[0, 4, 5, 6], [3, 0, 2, 1], [1, 6, 0, 4], [2, 5, 3, 0]]'",136,0.006222250000064378
5,9,"[[0, 8, 11, 18], [8, 0, 6, 12], [11, 6, 0, 2], [18, 12, 2, 0]]'","[[0, 1, 6, 5], [2, 0, 5, 6], [3, 4, 0, 2], [4, 3, 1, 0]]'",136,0.011089689000073122
6,0,"[[0, 19, 0, 3], [19, 0, 15, 19], [0, 15, 0, 2], [3, 19, 2, 0]]'","[[0, 3, 6, 1], [4, 0, 5, 6], [2, 1, 0, 4], [5, 2, 3, 0]]'",145,0.01038655899992591
6,1,"[[0, 19, 0, 3], [19, 0, 15, 19], [0, 15, 0, 2], [3, 19, 2, 0]]'","[[0, 6, 5, 1], [3, 0, 2, 4], [4, 1, 0, 6], [2, 5, 3, 0]]'",133,0.008108179999908316
6,2,"[[0, 19, 0, 3], [19, 0, 15, 19], [0, 15, 0, 2], [3, 19, 2, 0]]'","[[0, 1, 4, 2], [5, 0, 6, 4], [3, 2, 0, 1], [6, 3, 5, 0]]'",143,0.005433270000139601
6,3,"[[0, 19, 0, 3], [19, 0, 15, 19], [0, 15, 0, 2], [3, 19, 2, 0]]'","[[0, 6, 2, 4], [3, 0, 4, 2], [5, 1, 0, 3], [1, 5, 6, 0]]'",136,0.005362460000469582
6,4,"[[0, 19, 0, 3], [19, 0, 15, 19], [0, 15, 0, 2], [3, 19, 2, 0]]'","[[0, 2, 3, 1], [4, 0, 5, 6], [6, 1, 0, 4], [5, 3, 2, 0]]'",134,0.005504290000317269
6,5,"[[0, 19, 0, 3], [19, 0, 15, 19], [0, 15, 0, 2], [3, 19, 2, 0]]'","[[0, 4, 2, 3], [1, 0, 3, 2], [5, 6, 0, 1], [6, 5, 4, 0]]'",138,0.005266909999591007
6,6,"[[0, 19, 0, 3], [19, 0, 15, 19], [0, 15, 0, 2], [3, 19, 2, 0]]'","[[0, 1, 2, 3], [4, 0, 3, 5], [5, 6, 0, 4], [6, 2, 1, 0]]'",139,0.005370808999941801
6,7,"[[0, 19, 0, 3], [19, 0, 15, 19], [0, 15, 0, 2], [3, 19, 2, 0]]'","[[0, 6, 5, 1], [3, 0, 1, 2], [2, 4, 0, 3], [4, 5, 6, 0]]'",134,0.005491220000294561
6,8,"[[0, 19, 0, 3], [19, 0, 15, 19], [0, 15, 0, 2], [3, 19, 2, 0]]'","[[0, 3, 1, 2], [5, 0, 4, 6], [6, 2, 0, 5], [4, 1, 3, 0]]'",136,0.00652343900037522
6,9,"[[0, 19, 0, 3], [19, 0, 15, 19], [0, 15, 0, 2], [3, 19, 2, 0]]'","[[0, 3, 1, 2], [6, 0, 4, 5], [5, 2, 0, 6], [4, 1, 3, 0]]'",136,0.005893798999750288
7,0,"[[0, 6, 19, 17], [6, 0, 14, 0], [19, 14, 0, 7], [17, 0, 7, 0]]'","[[0, 2, 1, 3], [4, 0, 3, 1], [6, 5, 0, 4], [5, 6, 2, 0]]'",139,0.005978850000246894
7,1,"[[0, 6, 19, 17], [6, 0, 14, 0], [19, 14, 0, 7], [17, 0, 7, 0]]'","[[0, 2, 3, 4], [1, 0, 4, 5], [5, 6, 0, 2], [6, 3, 1, 0]]'",147,0.006071279000025243
7,2,"[[0, 6, 19, 17], [6, 0, 14, 0], [19, 14, 0, 7], [17, 0, 7, 0]]'","[[0, 1, 5, 4], [2, 0, 6, 3], [3, 4, 0, 2], [6, 5, 1, 0]]'",156,0.005942329999925278
7,3,"[[0, 6, 19, 17], [6, 0, 14, 0], [19, 14, 0, 7], [17, 0, 7, 0]]'","[[0, 4, 1, 3], [5, 0, 6, 2], [2, 3, 0, 4], [6, 1, 5, 0]]'",144,0.006342478999613377
7,4,"[[0, 6, 19, 17], [6, 0, 14, 0], [19, 14, 0, 7], [17, 0, 7, 0]]'","[[0, 1, 6, 5], [2, 0, 3, 6], [4, 5, 0, 1], [3, 4, 2, 0]]'",154,0.005556359999900451
7,5,"[[0, 6, 19, 17], [6, 0, 14, 0], [19, 14, 0, 7], [17, 0, 7, 0]]'","[[0, 4, 3, 5], [6, 0, 5, 1], [1, 2, 0, 4], [2, 3, 6, 0]]'",166,0.005371238999941852
7,6,"[[0, 6, 19, 17], [6, 0, 14, 0], [19, 14, 0, 7], [17, 0, 7, 0]]'","[[0, 3, 5, 6], [4, 0, 6, 2], [2, 1, 0, 3], [1, 5, 4, 0]]'",163,0.005359048999707738
7,7,"[[0, 6, 19, 17], [6, 0, 14, 0], [19, 14, 0, 7], [17, 0, 7, 0]]'","[[0, 1, 5, 6], [2, 0, 6, 5], [3, 4, 0, 2], [4, 3, 1, 0]]'",126,0.007736569000371674
7,8,"[[0, 6, 19, 17], [6, 0, 14, 0], [19, 14, 0, 7], [17, 0, 7, 0]]'","[[0, 1, 4, 3], [2, 0, 3, 6], [6, 5, 0, 1], [5, 4, 2, 0]]'",165,0.009962428999642725
7,9,"[[0, 6, 19, 17], [6, 0, 14, 0], [19, 14, 0, 7], [17, 0, 7, 0]]'","[[0, 3, 1, 2], [4, 0, 2, 5], [5, 6, 0, 4], [6, 1, 3, 0]]'",144,0.005805579000480066
8,0,"[[0, 7, 13, 4], [7, 0, 3, 3], [13, 3, 0, 13], [4, 3, 13, 0]]'","[[0, 6, 3, 5], [2, 0, 5, 3], [1, 4, 0, 6], [4, 1, 2, 0]]'",125,0.005469069999890053
8,1,"[[0, 7, 13, 4], [7, 0, 3, 3], [13, 3, 0, 13], [4, 3, 13, 0]]'","[[0, 6, 5, 4], [1, 0, 4, 5], [3, 2, 0, 1], [2, 3, 6, 0]]'",116,0.005955538999842247
8,2,"[[0, 7, 13, 4], [7, 0, 3, 3], [13, 3, 0, 13], [4, 3, 13, 0]]'","[[0, 2, 3, 1], [5, 0, 1, 4], [4, 6, 0, 5], [6, 3, 2, 0]]'",86,0.0059609700001601595
8,3,"[[0, 7, 13, 4], [7, 0, 3, 3], [13, 3, 0, 13], [4, 3, 13, 0]]'","[[0, 2, 1, 4], [6, 0, 5, 1], [3, 4, 0, 2], [5, 3, 6, 0]]'",103,0.005910920000133046
8,4,"[[0, 7, 13, 4], [7, 0, 3, 3], [13, 3, 0, 13], [4, 3, 13, 0]]'","[[0, 5, 6, 1], [3, 0, 1, 2], [2, 4, 0, 3], [4, 6, 5, 0]]'",88,0.005843039999490429
8,5,"[[0, 7, 13, 4], [7, 0, 3, 3], [13, 3, 0, 13], [4, 3, 13, 0]]'","[[0, 2, 3, 4], [6, 0, 1, 5], [5, 4, 0, 6], [1, 3, 2, 0]]'",77,0.0069737789999635424
8,6,"[[0, 7, 13, 4], [7, 0, 3, 3], [13, 3, 0, 13], [4, 3, 13, 0]]'","[[0, 6, 5, 4], [1, 0, 4, 2], [2, 3, 0, 1], [3, 5, 6, 0]]'",81,0.008141598999827693
8,7,"[[0, 7, 13, 4], [7, 0, 3, 3], [13, 3, 0, 13], [4, 3, 13, 0]]'","[[0, 2, 5, 1], [6, 0, 4, 3], [3, 1, 0, 2], [4, 5, 6, 0]]'",103,0.006715679000080854
8,8,"[[0, 7, 13, 4], [7, 0, 3, 3], [13, 3, 0, 13], [4, 3, 13, 0]]'","[[0, 4, 1, 5], [2, 0, 6, 1], [3, 5, 0, 4], [6, 3, 2, 0]]'",103,0.005738180000662396
8,9,"[[0, 7, 13, 4], [7, 0, 3, 3], [13, 3, 0, 13], [4, 3, 13, 0]]'","[[0, 3, 4, 6], [1, 0, 5, 4], [2, 6, 0, 3], [5, 2, 1, 0]]'",120,0.005638739000460191
9,0,"[[0, 8, 11, 10], [8, 0, 5, 7], [11, 5, 0, 19], [10, 7, 19, 0]]'","[[0, 2, 3, 4], [5, 0, 1, 6], [6, 4, 0, 5], [1, 3, 2, 0]]'",125,0.005576710000241292
9,1,"[[0, 8, 11, 10], [8, 0, 5, 7], [11, 5, 0, 19], [10, 7, 19, 0]]'","[[0, 3, 1, 2], [6, 0, 5, 1], [4, 2, 0, 3], [5, 4, 6, 0]]'",134,0.005574349000198708
9,2,"[[0, 8, 11, 10], [8, 0, 5, 7], [11, 5, 0, 19], [10, 7, 19, 0]]'","[[0, 3, 5, 1], [6, 0, 4, 2], [2, 1, 0, 3], [4, 5, 6, 0]]'",155,0.005464360000587476
9,3,"[[0, 8, 11, 10], [8, 0, 5, 7], [11, 5, 0, 19], [10, 7, 19, 0]]'","[[0, 6, 3, 5], [2, 0, 1, 4], [4, 5, 0, 6], [1, 3, 2, 0]]'",136,0.00550946000021213
9,4,"[[0, 8, 11, 10], [8, 0, 5, 7], [11, 5, 0, 19], [10, 7, 19, 0]]'","[[0, 3, 5, 2], [6, 0, 1, 4], [4, 2, 0, 3], [1, 5, 6, 0]]'",144,0.005922559999817167
9,5,"[[0, 8, 11, 10], [8, 0, 5, 7], [11, 5, 0, 19], [10, 7, 19, 0]]'","[[0, 5, 3, 4], [2, 0, 4, 1], [1, 6, 0, 2], [6, 3, 5, 0]]'",169,0.0063048000001799664
9,6,"[[0, 8, 11, 10], [8, 0, 5, 7], [11, 5, 0, 19], [10, 7, 19, 0]]'","[[0, 6, 5, 4], [2, 0, 4, 3], [3, 1, 0, 2], [1, 5, 6, 0]]'",141,0.008231188999161532
9,7,"[[0, 8, 11, 10], [8, 0, 5, 7], [11, 5, 0, 19], [10, 7, 19, 0]]'","[[0, 5, 6, 4], [3, 0, 4, 6], [1, 2, 0, 5], [2, 1, 3, 0]]'",160,0.005816828999741119
9,8,"[[0, 8, 11, 10], [8, 0, 5, 7], [11, 5, 0, 19], [10, 7, 19, 0]]'","[[0, 2, 1, 6], [4, 0, 5, 1], [3, 6, 0, 2], [5, 3, 4, 0]]'",150,0.005614959999547864
9,9,"[[0, 8, 11, 10], [8, 0, 5, 7], [11, 5, 0, 19], [10, 7, 19, 0]]'","[[0, 2, 5, 1], [6, 0, 4, 3], [3, 1, 0, 2], [4, 5, 6, 0]]'",142,0.006612869000491628
10,0,"[[0, 14, 7, 0], [14, 0, 10, 0], [7, 10, 0, 1], [0, 0, 1, 0]]'","[[0, 5, 6, 4], [3, 0, 4, 1], [1, 2, 0, 3], [2, 6, 5, 0]]'",74,0.005839460000061081
10,1,"[[0, 14, 7, 0], [14, 0, 10, 0], [7, 10, 0, 1], [0, 0, 1, 0]]'","[[0, 4, 3, 5], [1, 0, 6, 2], [2, 5, 0, 1], [6, 3, 4, 0]]'",80,0.00587269900006504
10,2,"[[0, 14, 7, 0], [14, 0, 10, 0], [7, 10, 0, 1], [0, 0, 1, 0]]'","[[0, 5, 1, 6], [3, 0, 6, 4], [4, 2, 0, 3], [2, 1, 5, 0]]'",85,0.00566488999993453
10,3,"[[0, 14, 7, 0], [14, 0, 10, 0], [7, 10, 0, 1], [0, 0, 1, 0]]'","[[0, 4, 3, 2], [5, 0, 6, 3], [1, 2, 0, 5], [6, 1, 4, 0]]'",81,0.00571497900000395
10,4,"[[0, 14, 7, 0], [14, 0, 10, 0], [7, 10, 0, 1], [0, 0, 1, 0]]'","[[0, 5, 4, 6], [3, 0, 1, 2], [2, 6, 0, 3], [1, 4, 5, 0]]'",71,0.005716280000342522
10,5,"[[0, 14, 7, 0], [14, 0, 10, 0], [7, 10, 0, 1], [0, 0, 1, 0]]'","[[0, 2, 3, 1], [6, 0, 4, 5], [5, 1, 0, 2], [4, 3, 6, 0]]'",68,0.005610678999801166
10,6,"[[0, 14, 7, 0], [14, 0, 10, 0], [7, 10, 0, 1], [0, 0, 1, 0]]'","[[0, 2, 5, 4], [6, 0, 4, 5], [3, 1, 0, 2], [1, 3, 6, 0]]'",65,0.005748528999902192
10,7,"[[0, 14, 7, 0], [14, 0, 10, 0], [7, 10, 0, 1], [0, 0, 1, 0]]'","[[0, 4, 5, 3], [2, 0, 3, 5], [6, 1, 0, 2], [1, 6, 4, 0]]'",68,0.005855878999682318
10,8,"[[0, 14, 7, 0], [14, 0, 10, 0], [7, 10, 0, 1], [0, 0, 1, 0]]'","[[0, 5, 2, 3], [4, 0, 3, 2], [1, 6, 0, 5], [6, 1, 4, 0]]'",75,0.005799188999844773
10,9,"[[0, 14, 7, 0], [14, 0, 10, 0], [7, 10, 0, 1], [0, 0, 1, 0]]'","[[0, 2, 4, 1], [6, 0, 3, 4], [5, 1, 0, 6], [3, 5, 2, 0]]'",87,0.005628588999570638
